"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Daley","Trevor","CAN",34,77,9,7,4e+06
"Dalpe","Zac","CAN",28,12,0,0,7e+05
"Danault","Phillip","CAN",24,52,8,17,950000
"Dano","Marko","SVK",23,23,2,1,850000
"Dauphin","Laurent","CAN",22,2,0,0,750000
"Davidson","Brandon","CAN",26,51,4,3,1550000
"de Haan","Calvin","CAN",26,33,1,11,3300000
"de la Rose","Jacob","SWE",22,55,4,8,725000
"Dea","Jean-Sebastien","CAN",23,5,1,0,650000
"DeAngelo","Tony","USA",22,32,0,8,832500
"DeBrincat","Alex","USA",20,82,28,24,742500
"DeBrusk","Jake","CAN",21,70,16,27,925000
"DeKeyser","Danny","USA",27,65,6,6,5500000
"Del Zotto","Michael","CAN",27,82,6,16,3e+06
"DeMelo","Dylan","CAN",24,63,0,20,7e+05
"Demers","Jason","CAN",29,69,6,14,5400000
"Dermott","Travis","CAN",21,37,1,12,925000
"Desharnais","David","CAN",31,71,6,22,1e+06
"Deslauriers","Nicolas","CAN",26,58,10,4,775000
"Di Giuseppe","Phillip","CAN",24,49,5,8,725000
"Dickinson","Jason","CAN",22,27,0,2,832500
"DiDomenico","Christopher","CAN",28,24,6,4,650000
"Dillon","Brenden","CAN",27,81,5,17,3400000
"Djoos","Christian","SWE",23,63,3,11,650000
"Domi","Max","CAN",22,82,9,36,832500
"Donato","Ryan","USA",21,12,5,4,875000
"Donskoi","Joonas","FIN",25,66,14,18,1900000
"Dorsett","Derek","CAN",31,20,7,2,2500000
"Dotchin","Jake","CAN",23,48,3,8,7e+05
"Doughty","Drew","CAN",28,82,10,50,7600000
"Dowd","Nic","USA",27,56,3,1,650000
"Draisaitl","Leon","DEU",22,78,25,45,9e+06
"Drouin","Jonathan","CAN",22,77,13,33,6500000
"Dubinsky","Brandon","USA",31,62,6,10,5850000
"Dubois","Pierre-Luc","CAN",19,82,20,28,925000
"Duchene","Matt","CAN",27,82,27,32,6e+06
"Duclair","Anthony","CAN",22,56,11,12,1200000
"Dumba","Matt","CAN",23,82,14,36,2750000
"Dumont","Gabriel","CAN",27,30,1,1,650000
"Dumoulin","Brian","USA",26,80,5,13,4100000
"Dunn","Vince","CAN",21,75,5,19,742500
"Dvorak","Christian","USA",21,78,15,22,892500
"Dzingel","Ryan","USA",25,79,23,18,1500000
"Eakin","Cody","CAN",26,80,11,16,3850000
"Eaves","Patrick","USA",33,2,1,0,3300000
"Eberle","Jordan","CAN",27,81,25,34,6e+06
"Edler","Alexander","SWE",31,70,6,28,6e+06
"Edmundson","Joel","CAN",24,69,7,10,1200000
"Ehlers","Nikolaj","DNK",21,82,29,31,832500
"Eichel","Jack","USA",21,67,25,39,925000
"Ejdsell","Victor","SWE",22,6,0,1,742500
"Ekblad","Aaron","CAN",21,82,16,22,9e+06
"Ekholm","Mattias","SWE",27,81,10,24,3500000
"Ekman-Larsson","Oliver","SWE",26,82,14,28,6500000
"Elie","Remi","CAN",22,72,6,8,7e+05
"Eller","Lars","DNK",28,81,18,20,4750000
"Ellis","Ryan","CAN",27,44,9,23,3e+06
"Emelin","Alexei","RUS",31,76,1,8,4400000
"Engelland","Deryk","CAN",35,79,5,18,1e+06
"Englund","Andreas","SWE",22,1,0,0,NA
"Ennis","Tyler","CAN",28,73,8,14,3650000
"Enstrom","Toby","SWE",33,43,1,5,5750000
"Ericsson","Jonathan","SWE",33,81,3,10,4250000
"Eriksson","Loui","SWE",32,50,10,13,8e+06
"Eriksson Ek","Joel","SWE",21,75,6,10,925000
"Erne","Adam","USA",22,23,3,1,832500
"Faksa","Radek","CZE",24,79,17,16,2e+06
"Falk","Justin","CAN",29,46,1,1,650000
"Fantenberg","Oscar","SWE",26,27,2,7,925000
"Fasching","Hudson","USA",22,5,0,0,925000
"Fast","Jesper","SWE",26,71,13,20,1750000
"Faulk","Justin","USA",25,76,8,23,5500000
"Fedun","Taylor","CAN",29,7,0,1,650000
"Fehr","Eric","CAN",32,18,3,1,2e+06
"Ferland","Micheal","CAN",25,77,21,20,1700000
"Ferraro","Landon","CAN",26,2,1,0,7e+05
"Fiala","Kevin","CHE",21,80,23,25,832500
"Filppula","Valtteri","FIN",33,81,11,22,5e+06
"Fiore","Giovanni","CAN",21,1,0,0,685000
"Fischer","Christian","USA",20,79,15,18,817500
"Fisher","Mike","CAN",37,16,2,2,1e+06
"Fleury","Haydn","CAN",21,67,0,8,832500
"Foegele","Warren","CAN",21,2,2,1,730000
"Fogarty","Steven","USA",24,1,0,0,NA
"Foligno","Marcus","CAN",26,77,8,15,2e+06
"Foligno","Nick","USA",30,72,15,18,5500000
"Folin","Christian","SWE",26,65,3,10,850000
"Foo","Spencer","CAN",23,4,2,0,925000
"Forbort","Derek","USA",25,78,1,17,650000
"Formenton","Alex","CAN",18,1,0,0,742500
"Forsberg","Filip","SWE",23,67,26,38,6e+06
"Forsling","Gustav","SWE",21,41,3,10,925000
"Fowler","Cam","USA",26,67,8,24,4e+06
"Franson","Cody","CAN",30,23,1,6,1e+06
"Fritz","Tanner","CAN",26,34,3,4,650000
"Frk","Martin","CZE",24,68,11,14,650000
"Froese","Byron","CAN",26,48,3,8,650000
"Frolik","Michael","CZE",29,70,10,15,4e+06
"Gaborik","Marian","SVK",35,46,11,10,5075000
"Gagner","Sam","CAN",28,74,10,21,2750000
"Galchenyuk","Alex","USA",23,82,19,32,4900000
"Gallagher","Brendan","CAN",25,82,31,23,2750000
"Gambrell","Dylan","USA",21,3,0,0,925000
"Gardiner","Jake","USA",27,82,5,47,4050000
"Garrison","Jason","CAN",33,8,0,1,2500000
"Gaudette","Adam","USA",21,5,0,0,9e+05
"Gaudreau","Frederick","CAN",24,20,0,3,650000
"Gaudreau","Johnny","USA",24,80,24,60,6750000
"Gaunce","Brendan","CAN",23,37,4,2,7e+05
"Gauthier","Frederik","CAN",22,9,1,0,832500
"Gerbe","Nathan","USA",30,2,0,0,750000
"Gersich","Shane","USA",21,3,0,1,925000
"Getzlaf","Ryan","CAN",32,56,11,50,9025000
"Gibbons","Brian","USA",29,59,12,14,650000
